subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2581.192158	-420.000000	0.000000	66.000000	2627.758157	2005.228987	0.000000	0.000000	0	398.233157	53.313886	96.898462	-36.595641	-457.871792	78.475753	-28.521355	-402.391136	46.703354	0.000000	-420.000000	0	59.014350	0.264753	10.701132	87.687107	-32.558498	-430.131464	40.983753	32.558498	10.131464	28.521355	17.608864	20.871792	0	1	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2627.970310	-420.000000	0.000000	67.000000	2675.025204	2005.228987	0.000000	0.000000	0	408.528685	43.043595	87.634141	-30.057564	-461.778758	70.487278	-20.468703	-404.107664	46.703354	0.000000	-420.000000	0	60.925498	1.911148	10.270290	79.060710	-25.263133	-432.943211	32.357356	25.263133	12.943211	20.468703	15.892336	24.778758	0	1	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2675.237358	-420.000000	0.000000	68.000000	2721.330716	2005.228987	0.000000	0.000000	0	417.947304	32.195899	78.000015	-22.192988	-462.285235	62.675275	-13.065205	-403.576792	46.703354	0.000000	-420.000000	0	61.358336	0.432838	10.847697	70.337645	-17.629096	-432.931014	23.634291	17.629096	12.931014	13.065205	16.423208	25.285235	0	1	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2721.543298	-420.000000	0.000000	69.000000	2768.230344	2005.228987	0.000000	0.000000	0	426.037356	23.626721	69.982886	-14.908772	-461.307385	57.193833	-6.428381	-403.935438	46.703354	0.000000	-420.000000	0	59.388695	1.969640	8.569177	63.588359	-10.668577	-432.621411	16.885006	10.668577	12.621411	6.428381	16.064562	24.307385	0	1	0	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2768.499386	-420.000000	0.000000	70.000000	2815.380621	2005.228987	2803.747676	0.000000	0	432.074863	17.715770	63.627925	-9.631717	-459.417114	51.925326	-2.260444	-405.552892	46.703354	0.000000	-420.000000	0	55.611518	3.777178	5.910951	57.776625	-5.946080	-432.485003	11.073271	5.946080	12.485003	2.260444	14.447108	22.417114	0	1	0	1	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2815.599618	-420.000000	0.000000	71.000000	2862.056119	2005.228987	2803.747676	0.000000	0	436.633449	14.015660	57.793081	-5.808860	-457.112483	47.733678	0.403921	-407.578526	46.703354	0.000000	-420.000000	0	50.925467	4.686051	3.700110	52.763380	-2.702469	-432.345504	6.060026	2.702469	12.345504	0.403921	12.421474	20.112483	0	1	0	1	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2862.270839	-420.000000	0.000000	72.000000	2910.170925	2005.228987	2803.747676	0.000000	0	439.978212	11.336281	51.655424	-3.335993	-453.983992	43.867179	2.316956	-408.566610	46.703354	0.000000	-420.000000	0	46.425760	4.499706	2.679379	47.761302	-0.509519	-431.275301	1.057948	0.509519	11.275301	2.316956	11.433390	16.983992	0	1	0	1	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2910.385645	-420.000000	0.000000	73.000000	2956.926408	2005.228987	2803.747676	0.000000	0	442.360872	10.557860	47.418411	-1.391981	-451.114661	40.350788	3.512017	-409.123856	46.703354	0.000000	-420.000000	0	42.862900	3.562861	0.778421	43.884600	1.060018	-430.119258	2.818754	1.060018	10.119258	3.512017	10.876144	14.114661	0	1	0	1	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	2957.140700	-420.000000	0.000000	74.000000	3003.621154	2005.228987	2803.747676	0.000000	0	444.366866	11.924405	46.264106	-0.314711	-451.653375	38.712572	5.175731	-410.119793	46.703354	0.000000	-420.000000	0	42.570048	0.292851	1.366546	42.488339	2.430510	-430.886584	4.215015	2.430510	10.886584	5.175731	9.880207	14.653375	0	1	0	1	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	3003.835446	-420.000000	0.000000	75.000000	3050.975885	2005.228987	2803.747676	0.000000	0	445.528837	13.088824	46.384861	0.259443	-451.536949	39.163665	6.620717	-412.466833	46.703354	0.000000	-420.000000	0	40.237861	2.332188	1.164418	42.774263	3.440080	-432.001891	3.929091	3.440080	12.001891	6.620717	7.533167	14.536949	0	1	0	1	0
